Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_17890,387751,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17891,387752,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17892,387753,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17893,387754,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17894,387755,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17895,387756,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17896,387757,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17897,387758,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17898,387759,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17899,387760,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17900,387761,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17901,387763,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17902,387764,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17903,387765,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17904,387766,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17905,387767,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17906,387768,NCI60,-,#N/A,,#N/A,#N/A
"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2,7-dinitro-",387769,NCI60,"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2,7-dinitro-",#N/A,,#N/A,#N/A
"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2-nitro-",387770,NCI60,"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2-nitro-",#N/A,,#N/A,#N/A
"benzo[1,2-b:4,5-b']dithiophene, 4,8-diethoxy-",387771,NCI60,"benzo[1,2-b:4,5-b']dithiophene, 4,8-diethoxy-",#N/A,,#N/A,#N/A
unnamed_17907,387772,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17908,387773,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17909,387776,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17910,387777,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17911,387778,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17912,387779,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17913,387780,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17914,387782,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17915,387783,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17916,387787,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17917,387788,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17918,387791,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17919,387792,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17920,387793,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17921,387794,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17922,387795,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17923,387796,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17924,387797,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17925,387798,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17926,387799,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17927,387800,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17928,387801,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17929,387802,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17930,387803,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17931,387804,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17932,387805,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17933,387806,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17934,387807,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17935,387808,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17936,387809,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17937,387810,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17938,387811,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17939,387842,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17940,387843,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17941,387844,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17942,387845,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17943,387846,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17944,387847,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17945,387848,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17946,387849,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17947,387850,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17948,387851,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17949,387852,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17950,387854,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17951,387856,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17952,387858,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17953,387859,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17954,387860,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17955,387861,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17956,387862,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17957,387863,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17958,387866,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17959,387868,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17960,387870,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17961,387871,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17962,387872,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17963,387881,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17964,387883,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17965,387885,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17966,387887,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17967,387889,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17968,387895,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17969,387896,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17970,387899,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17971,387900,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17972,387901,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17973,387902,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17974,387903,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17975,387904,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17976,387905,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17977,387906,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17978,387910,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17979,387911,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17980,387912,NCI60,-,#N/A,,#N/A,#N/A
methyl isonuapauanoate,387914,NCI60,methyl isonuapauanoate,#N/A,,#N/A,#N/A
unnamed_17981,387915,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17982,387917,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17983,387918,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17984,387919,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17985,387920,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17986,387921,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17987,387922,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17988,387923,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17989,387924,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17990,387925,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17991,387926,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17992,387927,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17993,387928,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17994,387929,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17995,387930,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17996,387931,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17997,387932,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17998,387933,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17999,387934,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18000,387935,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18001,387936,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18002,387937,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18003,387938,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18004,387939,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18005,387940,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18006,387941,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18007,387942,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18008,387943,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18009,387944,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18010,387945,NCI60,-,#N/A,,#N/A,#N/A
"aniline, 2-bromo-4-(2-benzothiazolyl)-",387948,NCI60,"aniline, 2-bromo-4-(2-benzothiazolyl)-",#N/A,,#N/A,#N/A
unnamed_18011,387949,NCI60,-,#N/A,,#N/A,#N/A
2-(4-amino-3-chlorophenyl)benzothiazole,387950,NCI60,2-(4-amino-3-chlorophenyl)benzothiazole,#N/A,,#N/A,#N/A
unnamed_18012,387951,NCI60,-,#N/A,,#N/A,#N/A
3-(4-fluorophenyl)-3-(2-hydroxy-4-methylphenyl)phthalide,387972,NCI60,3-(4-fluorophenyl)-3-(2-hydroxy-4-methylphenyl)phthalide,#N/A,,#N/A,#N/A
3-(4-fluorophenyl)-3-(4-hydroxy-2-methylphenyl)phthalide,387973,NCI60,3-(4-fluorophenyl)-3-(4-hydroxy-2-methylphenyl)phthalide,#N/A,,#N/A,#N/A
pseudopteranoic acid,387975,NCI60,pseudopteranoic acid,#N/A,,#N/A,#N/A
gorgiacerodiol,387976,NCI60,gorgiacerodiol,#N/A,,#N/A,#N/A
aurantimycin b,387979,NCI60,aurantimycin b,#N/A,,#N/A,#N/A
withafastuosin e,387980,NCI60,withafastuosin e,#N/A,,#N/A,#N/A
kumusine,387981,NCI60,kumusine,#N/A,,#N/A,#N/A
unnamed_18013,387982,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18014,387983,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18015,387985,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18016,387986,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18017,387987,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18018,387988,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18019,387990,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18020,387991,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18021,387995,NCI60,-,#N/A,,#N/A,#N/A
"1-pentanol, 5-(9-acridinylamino)-",387996,NCI60,"1-pentanol, 5-(9-acridinylamino)-",#N/A,,#N/A,#N/A
unnamed_18022,387997,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18023,387998,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18024,387999,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18025,388000,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18026,388001,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18027,388002,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18028,388003,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18029,388004,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18030,388005,NCI60,-,#N/A,,#N/A,#N/A
"2-(1-propynyl)-3,17.beta.-estradiol",388008,NCI60,"2-(1-propynyl)-3,17.beta.-estradiol",#N/A,,#N/A,#N/A
unnamed_18031,388011,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18032,388012,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18033,388014,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18034,388016,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18035,388017,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18036,388018,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18037,388019,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18038,388020,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18039,388021,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18040,388022,NCI60,-,#N/A,,#N/A,#N/A
"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2-acetyl-",388023,NCI60,"benzo[1,2-b:4,5-b']dithiophene-4,8-dione, 2-acetyl-",#N/A,,#N/A,#N/A
unnamed_18041,388024,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18042,388025,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18043,388026,NCI60,-,#N/A,,#N/A,#N/A
"benzo[1,2-b:5,4-b']dithiophene-4,8-dione, 2,5-diacetyl-",388027,NCI60,"benzo[1,2-b:5,4-b']dithiophene-4,8-dione, 2,5-diacetyl-",#N/A,,#N/A,#N/A
"benzo[1,2-b:5,4-b']dithiophene-4,8-dione, 2-acetyl-",388028,NCI60,"benzo[1,2-b:5,4-b']dithiophene-4,8-dione, 2-acetyl-",#N/A,,#N/A,#N/A
"10h-quindoline-3,8-diamine",388029,NCI60,"10h-quindoline-3,8-diamine",#N/A,,#N/A,#N/A
tetra-p-anisidyl-oxalamidine,388030,NCI60,tetra-p-anisidyl-oxalamidine,#N/A,,#N/A,#N/A
"thiazolo[4,5-d]pyridazine, 4-chloro-2-phenyl-",388033,NCI60,"thiazolo[4,5-d]pyridazine, 4-chloro-2-phenyl-",#N/A,,#N/A,#N/A
unnamed_18044,388034,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18045,388035,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18046,388036,NCI60,-,#N/A,,#N/A,#N/A
"n-[4-(2-piperidinoethoxy)phenyl]-3-amino-1,8-naphthalimide",388037,NCI60,"n-[4-(2-piperidinoethoxy)phenyl]-3-amino-1,8-naphthalimide",#N/A,,#N/A,#N/A
unnamed_18047,388039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18048,388040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18049,388043,NCI60,-,#N/A,,#N/A,#N/A
"2,4-diethoxyestra-1,3,5(10)trien-3,17.beta.-diol",388044,NCI60,"2,4-diethoxyestra-1,3,5(10)trien-3,17.beta.-diol",#N/A,,#N/A,#N/A
unnamed_18050,388045,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18051,388055,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18052,388056,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18053,388057,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18054,388058,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18055,388059,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18056,388060,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18057,388061,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18058,388062,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18059,388063,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18060,388064,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18061,388065,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18062,388066,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18063,388067,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18064,388069,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18065,388070,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18066,388072,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18067,388073,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18068,388074,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18069,388075,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18070,388076,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18071,388077,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18072,388078,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18073,388079,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18074,388080,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18075,388081,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18076,388082,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18077,388083,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18078,388084,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18079,388085,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18080,388086,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18081,388087,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18082,388088,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18083,388089,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18084,388090,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18085,388091,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18086,388092,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18087,388093,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18088,388094,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18089,388095,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18090,388096,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18091,388097,NCI60,-,#N/A,,#N/A,#N/A
cardenolide 2,388098,NCI60,cardenolide 2,#N/A,,#N/A,#N/A
unnamed_18092,388099,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18093,388101,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18094,388102,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18095,388104,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18096,388120,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18097,388121,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18098,388122,NCI60,-,#N/A,,#N/A,#N/A
dolabellin,388132,NCI60,dolabellin,#N/A,,#N/A,#N/A
unnamed_18099,388133,NCI60,-,#N/A,,#N/A,#N/A
"2,4,16-tribromoestra-1,3,5(10)-trien-3-ol-17-one",388134,NCI60,"2,4,16-tribromoestra-1,3,5(10)-trien-3-ol-17-one",#N/A,,#N/A,#N/A
"2,4-dibromoestra-1,3,5(10)-trien-3-ol-17-one",388135,NCI60,"2,4-dibromoestra-1,3,5(10)-trien-3-ol-17-one",#N/A,,#N/A,#N/A
4-demethyl-penclomedine,388136,NCI60,4-demethyl-penclomedine,#N/A,,#N/A,#N/A
unnamed_18100,388139,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18101,388141,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18102,388142,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18103,388143,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18104,388144,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18105,388146,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18106,388149,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18107,388150,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18108,388151,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18109,388152,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18110,388153,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18111,388154,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18112,388155,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18113,388156,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18114,388157,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18115,388158,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18116,388159,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18117,388160,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18118,388161,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18119,388164,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18120,388165,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18121,388166,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18122,388167,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18123,388168,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18124,388169,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18125,388170,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18126,388171,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18127,388172,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18128,388173,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18129,388174,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18130,388175,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18131,388176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18132,388177,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18133,388178,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18134,388179,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18135,388180,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18136,388181,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18137,388182,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18138,388183,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18139,388184,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18140,388185,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18141,388186,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18142,388187,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18143,388188,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18144,388189,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18145,388190,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18146,388191,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18147,388192,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18148,388193,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18149,388194,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18150,388195,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18151,388196,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18152,388197,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18153,388198,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18154,388199,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18155,388200,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18156,388201,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18157,388204,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18158,388205,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18159,388206,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18160,388207,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18161,388208,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18162,388209,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18163,388210,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18164,388211,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18165,388212,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18166,388213,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18167,388214,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18168,388215,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18169,388216,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18170,388217,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18171,388218,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18172,388219,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18173,388220,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18174,388222,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18175,388223,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18176,388224,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18177,388225,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18178,388226,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18179,388227,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18180,388249,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18181,388250,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18182,388251,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18183,388253,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18184,388254,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18185,388255,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18186,388256,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18187,388257,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18188,388258,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18189,388259,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18190,388265,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18191,388267,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18192,388268,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18193,388269,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18194,388270,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18195,388271,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18196,388274,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18197,388276,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18198,388277,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18199,388278,NCI60,-,#N/A,,#N/A,#N/A
unnamed_18200,388279,NCI60,-,#N/A,,#N/A,#N/A
